transaction_id,customer_id,product_id,quantity,total_amount,date,hour
T0357,C027,P034,4,2080,2019-12-12,9
T0353,C027,P031,10,4500,2019-12-16,8
T0355,C027,P044,1,85,2019-12-27,12
T0363,C027,P034,13,6760,2020-01-15,19
T0366,C027,P033,9,2520,2020-01-21,10
T0369,C027,P044,2,170,2020-03-02,10
T0368,C027,P033,8,2240,2020-03-09,11
T0360,C027,P032,14,1330,2020-06-11,7
T0356,C027,P032,11,1045,2021-05-10,8
T0367,C027,P035,11,825,2021-07-20,8
T0361,C027,P032,6,570,2021-12-02,8
T0359,C027,P032,6,570,2022-06-30,10
T0362,C027,P031,8,3600,2022-08-22,13
T0364,C027,P034,10,5200,2022-10-31,9
T0354,C027,P034,8,4160,2023-09-25,8
T0365,C027,P033,8,2240,2024-07-22,8
T0352,C027,P035,15,1125,2024-12-02,9
T0387,C028,P034,10,5200,2020-01-20,18
T0372,C028,P035,11,825,2020-08-06,9
T0378,C028,P035,12,900,2020-11-25,9
T0385,C028,P034,12,6240,2021-06-18,8
T0374,C028,P032,8,760,2021-08-17,9
T0382,C028,P031,10,4500,2022-03-21,9
T0375,C028,P031,6,2700,2022-06-03,8
T0370,C028,P034,7,3640,2022-09-12,8
T0381,C028,P034,9,4680,2022-09-14,10
T0371,C028,P032,11,1045,2022-12-22,10
T0383,C028,P043,3,1050,2023-03-22,7
T0379,C028,P035,3,225,2023-10-08,10
T0376,C028,P035,5,375,2023-10-30,10
T0380,C028,P042,1,240,2023-11-22,9
T0373,C028,P031,4,1800,2024-03-21,10
T0377,C028,P032,11,1045,2024-07-09,9
T0384,C028,P043,2,700,2024-09-23,8
T0386,C028,P033,13,3640,2024-12-23,7
T0391,C029,P031,11,4950,2019-12-03,8
T0392,C029,P031,14,6300,2019-12-17,17
T0390,C029,P042,2,480,2020-03-16,8
T0395,C029,P042,2,480,2020-04-20,8
T0389,C029,P033,13,3640,2020-06-09,9
T0394,C029,P033,13,3640,2020-09-07,13
T0388,C029,P044,1,85,2021-01-18,15
T0393,C029,P031,4,1800,2021-03-15,7
T0407,C030,P037,39,2535,2020-11-02,12
T0405,C030,P040,19,855,2021-05-14,8
T0399,C030,P038,28,3360,2021-08-30,10
T0398,C030,P037,11,715,2021-11-25,9
T0403,C030,P036,42,3570,2021-12-24,17
T0408,C030,P036,17,1445,2022-03-31,8
T0401,C030,P041,4,720,2022-07-15,10
T0396,C030,P037,15,975,2022-10-27,8
T0400,C030,P037,43,2795,2023-04-17,7
T0406,C030,P039,29,3480,2023-10-20,12
T0397,C030,P042,5,1200,2024-09-24,9
T0402,C030,P037,11,715,2024-10-15,12
T0404,C030,P040,50,2250,2024-10-24,7
T0412,C031,P038,20,2400,2020-07-16,9
T0409,C031,P036,20,1700,2021-02-23,9
T0414,C031,P041,3,540,2021-08-09,8
T0411,C031,P038,41,4920,2023-03-02,7
T0415,C031,P041,3,540,2023-05-01,10
T0413,C031,P036,12,1020,2023-06-13,7
T0416,C031,P039,17,2040,2024-04-08,16
T0410,C031,P038,31,3720,2024-05-04,7
T0421,C032,P039,31,3720,2019-07-31,7
T0425,C032,P039,25,3000,2020-02-25,8
T0423,C032,P036,43,3655,2020-11-30,8
T0430,C032,P038,35,4200,2020-12-22,9
T0417,C032,P036,35,2975,2021-04-28,7
T0420,C032,P039,19,2280,2021-07-05,8
T0419,C032,P038,39,4680,2021-07-26,8
T0427,C032,P036,19,1615,2021-08-02,7
T0432,C032,P040,17,765,2022-02-11,8
T0431,C032,P038,38,4560,2022-03-25,10
T0429,C032,P039,48,5760,2022-04-14,9
T0418,C032,P039,45,5400,2022-06-24,7
T0422,C032,P039,36,4320,2022-10-05,8
T0426,C032,P038,38,4560,2023-09-20,9
T0424,C032,P038,42,5040,2024-06-14,7
T0428,C032,P039,23,2760,2024-07-15,9
T0440,C033,P035,5,375,2020-11-16,9
T0434,C033,P036,18,1530,2020-11-21,10
T0435,C033,P038,46,5520,2021-06-15,8
T0433,C033,P037,47,3055,2021-07-02,7
T0439,C033,P039,50,6000,2021-07-16,8
T0437,C033,P037,49,3185,2022-04-25,11
T0436,C033,P039,32,3840,2023-07-21,8
T0438,C033,P037,13,845,2024-05-27,10
T0447,C034,P039,11,1320,2019-10-18,8
T0442,C034,P038,47,5640,2020-01-10,9
T0449,C034,P038,17,2040,2020-01-14,8
T0450,C034,P038,47,5640,2020-03-09,17
T0443,C034,P032,3,285,2020-06-29,7
T0452,C034,P033,3,840,2021-04-28,9
T0446,C034,P040,44,1980,2021-06-25,18
T0455,C034,P040,19,855,2021-11-05,10
T0456,C034,P036,50,4250,2022-01-14,7
T0441,C034,P038,48,5760,2022-12-23,9
T0451,C034,P038,50,6000,2022-12-27,10
T0448,C034,P036,31,2635,2023-02-02,8
T0444,C034,P039,21,2520,2023-05-08,13
T0445,C034,P038,46,5520,2023-05-24,9
T0453,C034,P037,21,1365,2023-08-14,8
T0454,C034,P040,21,945,2023-10-05,7
T0465,C035,P036,19,1615,2021-01-15,10
T0462,C035,P040,11,495,2021-04-14,18
T0461,C035,P038,20,2400,2021-05-10,10
T0460,C035,P037,28,1820,2021-09-06,7
T0467,C035,P037,17,1105,2021-09-20,18
T0457,C035,P038,16,1920,2021-12-09,9
T0459,C035,P039,46,5520,2022-09-26,10
T0469,C035,P038,38,4560,2022-11-28,9
T0458,C035,P036,36,3060,2022-12-05,8
T0464,C035,P037,28,1820,2023-01-23,9
T0466,C035,P036,22,1870,2023-02-28,18
T0468,C035,P039,44,5280,2023-05-29,7
T0463,C035,P037,31,2015,2024-03-02,7
T0473,C036,P039,17,2040,2021-12-29,13
T0475,C036,P039,48,5760,2022-03-28,8
T0476,C036,P036,27,2295,2022-04-15,9
T0478,C036,P040,28,1260,2022-05-12,7
T0480,C036,P039,12,1440,2022-08-09,10
T0474,C036,P044,3,255,2022-10-08,8
T0481,C036,P038,33,3960,2023-02-17,9
T0482,C036,P038,24,2880,2023-07-17,7
T0483,C036,P039,22,2640,2023-08-07,7
T0479,C036,P043,2,700,2024-02-07,10
T0471,C036,P040,34,1530,2024-02-13,7
T0484,C036,P039,42,5040,2024-07-08,11
T0477,C036,P036,19,1615,2024-09-23,8
T0472,C036,P039,40,4800,2024-10-21,14
T0470,C036,P038,15,1800,2024-12-17,7
T0486,C037,P042,6,1440,2021-11-23,9
T0489,C037,P043,12,4200,2022-01-31,8
T0490,C037,P042,9,2160,2022-10-24,9
T0492,C037,P043,10,3500,2023-02-13,9
T0493,C037,P044,12,1020,2023-04-07,17
T0494,C037,P045,7,1540,2023-09-04,9
T0485,C037,P045,5,1100,2023-11-01,11
T0488,C037,P045,8,1760,2024-01-29,19
T0491,C037,P041,6,1080,2024-03-24,7
T0487,C037,P044,6,510,2024-05-27,11
T0510,C038,P034,1,520,2019-10-22,9
T0505,C038,P044,8,680,2020-01-31,8
T0504,C038,P045,9,1980,2020-03-06,7
T0509,C038,P041,9,1620,2020-07-06,10
T0496,C038,P043,12,4200,2020-11-02,7
T0511,C038,P040,2,90,2020-11-06,8
T0503,C038,P045,12,2640,2021-06-07,7
T0512,C038,P043,5,1750,2021-07-13,9
T0507,C038,P044,3,255,2021-08-24,7
T0495,C038,P041,7,1260,2021-08-31,9
T0502,C038,P042,8,1920,2021-10-11,17
T0498,C038,P044,8,680,2022-01-18,8
T0497,C038,P043,7,2450,2023-08-07,10
T0499,C038,P042,11,2640,2023-08-18,9
T0501,C038,P043,8,2800,2023-11-06,8
T0508,C038,P042,10,2400,2024-01-18,8
T0500,C038,P042,4,960,2024-07-01,9
T0506,C038,P045,5,1100,2024-10-14,9
T0515,C039,P034,2,1040,2020-07-31,8
T0518,C039,P041,4,720,2020-09-28,10
T0513,C039,P043,9,3150,2022-02-07,9
T0514,C039,P037,2,130,2022-05-24,8
T0516,C039,P045,9,1980,2023-04-21,7
T0521,C039,P041,4,720,2023-05-05,7
T0520,C039,P041,9,1620,2024-03-11,8
T0519,C039,P044,7,595,2024-05-29,7
T0517,C039,P038,1,120,2024-10-18,7
T0525,C040,P035,2,150,2021-10-27,9
T0524,C040,P041,5,900,2021-11-25,18
T0535,C040,P045,8,1760,2021-12-08,10
T0533,C040,P044,7,595,2022-01-13,7
T0536,C040,P044,3,255,2022-03-27,7
T0531,C040,P041,12,2160,2022-04-18,18
T0529,C040,P043,7,2450,2022-06-06,10
T0522,C040,P042,9,2160,2022-11-16,16
T0526,C040,P043,3,1050,2022-11-18,8
T0527,C040,P038,1,120,2023-02-27,7
T0528,C040,P037,1,65,2023-03-31,9
T0530,C040,P044,5,425,2023-10-09,7
T0534,C040,P041,8,1440,2024-05-06,8
T0523,C040,P041,8,1440,2024-06-24,10
T0532,C040,P042,5,1200,2024-10-29,7
T0541,C041,P045,11,2420,2021-03-28,9
T0544,C041,P042,11,2640,2021-04-01,15
T0545,C041,P041,4,720,2021-06-29,10
T0550,C041,P042,11,2640,2021-10-26,9
T0546,C041,P042,10,2400,2022-04-18,14
T0538,C041,P043,9,3150,2022-10-18,10
T0547,C041,P042,10,2400,2023-02-20,7
T0542,C041,P044,10,850,2023-02-24,8
T0552,C041,P033,3,840,2023-10-11,9
T0539,C041,P041,10,1800,2023-10-24,7
T0537,C041,P035,4,300,2023-11-14,12
T0549,C041,P035,2,150,2023-12-12,8
T0540,C041,P041,9,1620,2024-01-10,10
T0548,C041,P045,11,2420,2024-01-24,7
T0543,C041,P045,4,880,2024-08-07,10
T0551,C041,P039,4,480,2024-08-26,9
T0553,C041,P045,8,1760,2024-10-14,9
T0554,C041,P032,1,95,2024-11-18,9
T0564,C042,P043,3,1050,2019-10-22,8
T0558,C042,P045,11,2420,2019-12-16,8
T0556,C042,P045,6,1320,2020-05-18,7
T0563,C042,P035,2,150,2020-06-11,9
T0567,C042,P045,8,1760,2020-09-01,7
T0557,C042,P042,7,1680,2021-05-19,7
T0562,C042,P042,5,1200,2021-06-04,12
T0566,C042,P045,5,1100,2021-10-13,8
T0560,C042,P043,12,4200,2022-11-14,8
T0555,C042,P045,9,1980,2022-12-22,9
T0565,C042,P043,10,3500,2023-02-14,15
T0559,C042,P045,9,1980,2024-03-04,7
T0561,C042,P039,2,240,2024-06-05,9
T0571,C043,P043,11,3850,2019-08-25,16
T0576,C043,P043,11,3850,2019-09-23,9
T0573,C043,P041,4,720,2020-06-12,7
T0568,C043,P038,1,120,2021-05-14,10
T0570,C043,P043,7,2450,2021-08-25,17
T0569,C043,P043,3,1050,2022-01-03,8
T0572,C043,P044,8,680,2022-03-28,14
T0575,C043,P044,3,255,2023-02-19,8
T0578,C043,P044,12,1020,2023-04-14,7
T0574,C043,P042,11,2640,2024-05-13,14
T0577,C043,P042,9,2160,2024-08-13,10
T0582,C044,P012,1,750,2021-04-14,16
T0579,C044,P021,3,195,2021-08-14,9
T0580,C044,P034,1,520,2021-10-04,18
T0581,C044,P017,2,360,2023-10-20,19
T0583,C045,P002,3,33000,2020-08-03,17
T0585,C045,P045,1,220,2020-09-10,15
T0587,C045,P021,3,195,2021-07-11,14
T0584,C045,P016,1,320,2021-08-09,16
T0589,C045,P022,3,165,2021-09-06,15
T0588,C045,P018,2,500,2021-11-24,12
T0590,C045,P020,1,25,2023-01-27,17
T0586,C045,P035,2,150,2024-09-03,19
T0594,C046,P031,3,1350,2021-10-15,11
T0593,C046,P035,3,225,2021-10-28,13
